17 Apr 08:50:03 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 08:50:03 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 08:50:05 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 08:50:05 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 08:50:05 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 08:50:05 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 08:50:05 CDT 2013
 17 Apr 08:50:05 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 08:50:05 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 08:50:05 LogHelper | logTestCaseFooter | - Test Case Checks  = 0
 17 Apr 08:50:05 LogHelper | logTestCaseFooter | - Test Case Errors  = 0
 17 Apr 08:50:05 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 08:50:05 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 08:50:05 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 08:50:05 CDT 2013
 17 Apr 08:50:05 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 08:50:05 CDT 2013
 17 Apr 08:50:05 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 08:50:23 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 08:50:23 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 08:50:24 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 08:50:24 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 08:50:24 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 08:50:24 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 08:50:24 CDT 2013
 17 Apr 08:50:24 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 08:50:24 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 08:50:24 LogHelper | logTestCaseFooter | - Test Case Checks  = 0
 17 Apr 08:50:24 LogHelper | logTestCaseFooter | - Test Case Errors  = 0
 17 Apr 08:50:24 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 08:50:24 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 08:50:24 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 08:50:24 CDT 2013
 17 Apr 08:50:24 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 08:50:24 CDT 2013
 17 Apr 08:50:24 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 08:51:55 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 08:51:55 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 08:51:56 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 08:51:56 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 08:51:56 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 08:51:56 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 08:51:56 CDT 2013
 17 Apr 08:51:56 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 08:51:56 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 08:51:56 LogHelper | logTestCaseFooter | - Test Case Checks  = 0
 17 Apr 08:51:56 LogHelper | logTestCaseFooter | - Test Case Errors  = 0
 17 Apr 08:51:56 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 08:51:56 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 08:51:56 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 08:51:56 CDT 2013
 17 Apr 08:51:56 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 08:51:56 CDT 2013
 17 Apr 08:51:56 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 08:54:04 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 08:54:04 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 08:54:05 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 08:54:05 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 08:54:05 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 08:54:05 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 08:54:05 CDT 2013
 17 Apr 08:54:05 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 08:54:05 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 08:54:05 LogHelper | logTestCaseFooter | - Test Case Checks  = 0
 17 Apr 08:54:05 LogHelper | logTestCaseFooter | - Test Case Errors  = 0
 17 Apr 08:54:05 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 08:54:05 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 08:54:05 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 08:54:05 CDT 2013
 17 Apr 08:54:05 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 08:54:05 CDT 2013
 17 Apr 08:54:05 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:03:14 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 09:03:14 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:03:15 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:03:15 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:03:15 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:03:15 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:03:15 CDT 2013
 17 Apr 09:03:15 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:03:15 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:03:15 LogHelper | logTestCaseFooter | - Test Case Checks  = 1
 17 Apr 09:03:15 LogHelper | logTestCaseFooter | - Test Case Errors  = 1
 17 Apr 09:03:15 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 09:03:15 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 09:03:15 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 09:03:15 CDT 2013
 17 Apr 09:03:15 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 09:03:15 CDT 2013
 17 Apr 09:03:15 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:07:21 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 09:07:21 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:07:22 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:07:22 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:07:22 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:07:22 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:07:22 CDT 2013
 17 Apr 09:07:22 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:07:22 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:07:22 LogHelper | logTestCaseFooter | - Test Case Checks  = 0
 17 Apr 09:07:22 LogHelper | logTestCaseFooter | - Test Case Errors  = 0
 17 Apr 09:07:22 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 09:07:22 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 09:07:22 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 09:07:22 CDT 2013
 17 Apr 09:07:22 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 09:07:22 CDT 2013
 17 Apr 09:07:22 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:11:47 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 09:11:47 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:11:48 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:11:48 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:11:48 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:11:48 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:11:48 CDT 2013
 17 Apr 09:11:48 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:11:48 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:11:48 LogHelper | logTestCaseFooter | - Test Case Checks  = 0
 17 Apr 09:11:48 LogHelper | logTestCaseFooter | - Test Case Errors  = 0
 17 Apr 09:11:48 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 09:11:48 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
